phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
15,7,34,7,6,44,1,7,51,1,8,70
5,7,32,9,5,32,9,8,54,11,9,74
5,9,31,9,6,34,9,7,55,11,9,76
5,7,36,7,6,44,9,8,54,11,8,67
5,5,31,7,5,45,9,7,57,11,9,71
5,5,26,7,5,41,11,7,53,11,9,69
5,5,29,7,5,41,11,7,48,11,9,69
5,4,29,7,5,42,11,6,44,11,8,67
5,5,30,7,5,42,1,6,46,1,8,67
5,5,31,7,5,44,9,7,52,2,8,69
5,6,33,9,6,46,1,6,49,1,8,68
15,7,35,17,7,49,1,6,47,1,7,67
9,1,2,11,3,18,1,4,34,11,6,42
8,5,29,7,6,38,9,5,36,1,5,42
7,5,30,7,5,38,9,7,43,1,5,44
9,6,29,9,8,33,9,11,44,1,5,41
9,10,34,9,11,38,9,14,50,11,6,44
9,12,40,9,13,48,9,15,51,11,6,51
9,13,43,9,14,52,9,15,51,1,5,43
9,15,46,9,16,52,9,17,52,9,10,61
9,19,53,9,20,58,9,20,60,11,6,51
9,20,52,9,20,60,9,20,63,11,6,50
9,20,48,9,20,55,9,19,62,1,7,56
9,20,46,9,20,58,9,20,65,1,6,55
9,20,45,9,20,54,9,19,65,1,6,56
9,20,46,9,20,56,9,19,69,1,7,58
9,20,47,9,20,50,9,19,60,1,6,54
9,20,52,9,20,60,9,19,66,9,11,62
9,20,50,9,20,57,9,19,65,11,8,62
9,20,56,9,20,61,9,19,68,9,12,71
9,20,52,9,20,54,9,19,71,1,8,60
9,20,54,9,20,56,9,19,73,9,10,62
9,20,41,9,20,45,9,19,62,11,7,52
9,20,37,9,20,50,9,19,61,11,7,53
9,20,50,9,20,55,9,20,71,9,15,72
9,20,45,9,20,57,9,19,68,9,7,64
9,20,42,9,20,51,9,19,72,11,8,64
9,20,47,9,20,60,9,20,68,9,8,67
9,20,43,9,20,50,9,20,59,1,7,58
9,20,49,9,20,60,9,19,65,9,9,70
9,20,50,9,20,58,9,19,65,1,7,67
9,20,49,9,20,57,9,19,71,1,7,67
9,20,47,9,20,60,9,20,69,1,7,68
9,20,46,9,20,54,9,19,64,1,8,68
9,19,48,9,20,61,9,19,71,1,8,67
9,16,42,9,18,55,9,19,66,1,8,71
9,10,41,9,12,53,9,14,65,1,8,71
9,5,29,9,8,54,9,10,65,1,8,77
5,6,33,9,10,57,9,11,70,1,9,80
5,7,29,9,8,42,9,10,67,11,9,80
5,8,32,9,12,55,9,14,69,11,8,69
9,8,34,9,11,53,9,14,68,11,8,68
5,6,32,9,8,47,9,10,62,11,9,69
9,5,24,9,7,46,9,8,60,11,8,61
9,5,24,9,7,46,9,8,62,11,9,63
9,6,25,9,8,51,9,9,61,1,8,67
9,8,29,9,12,57,9,14,71,1,8,71
9,13,37,9,17,62,9,19,74,1,8,68
9,16,39,9,20,66,9,19,74,1,7,68
9,20,44,9,20,70,9,19,79,1,8,75
9,20,44,9,20,66,9,19,76,1,8,69
9,20,37,9,20,63,9,19,77,1,8,66
0,0,0,1,2,8,11,4,25,1,4,35
5,4,24,7,4,34,1,5,38,11,6,45
5,4,22,7,5,35,1,5,40,1,7,50
5,4,29,7,5,32,1,5,38,1,6,48
5,4,21,9,5,27,9,6,36,1,5,38
5,3,18,9,4,26,9,5,35,1,5,43
7,4,26,7,5,34,1,5,40,1,5,44
7,4,27,1,4,37,1,5,40,1,5,43
15,5,28,8,5,35,1,5,36,1,5,41
5,4,28,7,4,36,11,5,35,11,6,49
17,5,30,7,5,41,9,6,39,1,5,46
5,4,27,7,4,37,1,4,33,1,5,45
7,5,23,7,5,35,1,5,33,1,5,49
15,5,28,7,5,36,1,5,33,1,6,45
7,4,19,7,6,28,9,5,31,1,5,45
7,5,26,7,5,28,11,5,34,1,5,42
15,5,23,7,5,30,1,4,36,1,5,45
5,5,26,7,5,29,9,7,40,1,5,42
15,5,28,7,5,36,9,8,42,1,5,47
9,6,31,9,8,37,9,8,42,1,5,47
5,5,26,7,5,29,9,6,34,1,4,40
5,5,28,7,5,33,9,5,35,1,5,46
5,6,29,9,5,29,9,7,41,1,5,43
5,6,23,7,4,30,1,4,33,1,5,45
5,5,27,1,3,28,1,4,34,1,5,41
5,4,19,1,3,26,1,5,35,1,6,47
5,4,20,1,3,22,1,4,30,1,5,45
5,5,28,7,6,39,11,5,35,11,6,46
5,4,23,7,5,35,1,5,36,11,6,47
5,4,21,7,4,30,9,5,38,11,6,43
5,5,21,9,4,37,11,6,40,11,8,46
5,4,17,9,4,33,1,5,37,1,6,45
5,3,18,1,3,33,1,5,38,11,6,48
5,4,21,7,4,28,1,4,30,1,5,42
15,4,18,7,4,28,11,5,33,1,5,43
15,4,22,1,3,28,1,5,40,1,6,48
15,6,24,7,4,35,1,5,40,11,6,47
15,6,24,7,4,34,1,5,37,1,6,47
15,7,23,9,4,27,1,5,38,1,6,47
15,5,21,9,4,29,1,5,37,1,6,46
15,7,21,1,3,27,1,4,31,1,5,39
15,5,19,1,3,24,1,5,31,1,6,45
15,6,25,7,4,25,1,5,31,1,5,45
7,4,22,7,4,27,11,5,32,11,6,48
5,4,25,7,4,27,9,5,30,1,5,46
5,4,24,7,4,32,1,4,32,11,6,46
5,7,23,9,4,25,9,5,38,11,6,45
